# Time ['Lemming']
0.000000000000000000e+00 0.000000000000000000e+00
1.111318488130392135e+00 1.000000000000000000e+00
1.152843263741190949e+00 2.000000000000000000e+00
1.504584788355778358e+00 1.000000000000000000e+00
2.024949148152826339e+00 2.000000000000000000e+00
2.140134214624580977e+00 3.000000000000000000e+00
2.176338827808486975e+00 4.000000000000000000e+00
3.863016792430780555e+00 5.000000000000000000e+00
4.784023966254546956e+00 4.000000000000000000e+00
6.668762017983165258e+00 3.000000000000000000e+00
7.021509062099373644e+00 4.000000000000000000e+00
7.038119780471603804e+00 5.000000000000000000e+00
7.737757625346701751e+00 4.000000000000000000e+00
7.770866660335879139e+00 5.000000000000000000e+00
7.789379340329001700e+00 6.000000000000000000e+00
1.093373366004633951e+01 7.000000000000000000e+00
1.151590893519274772e+01 6.000000000000000000e+00
1.179190913648249150e+01 5.000000000000000000e+00
1.193597881593940002e+01 4.000000000000000000e+00
1.231780292861982673e+01 5.000000000000000000e+00
1.360076962068032991e+01 6.000000000000000000e+00
1.399531576319112247e+01 5.000000000000000000e+00
1.487587572457608331e+01 6.000000000000000000e+00
1.515104528923659366e+01 7.000000000000000000e+00
1.601225513470986783e+01 6.000000000000000000e+00
1.716000565264484123e+01 5.000000000000000000e+00
1.729838624840220263e+01 6.000000000000000000e+00
1.846255455557509606e+01 7.000000000000000000e+00
1.860933710369245730e+01 6.000000000000000000e+00
1.982460053077094386e+01 7.000000000000000000e+00
1.982643631948078422e+01 8.000000000000000000e+00
2.047286568216540914e+01 7.000000000000000000e+00
2.066484387443245652e+01 6.000000000000000000e+00
2.066562472873969014e+01 7.000000000000000000e+00
2.101093321420902171e+01 8.000000000000000000e+00
2.227014414848912338e+01 7.000000000000000000e+00
2.274238657924798090e+01 8.000000000000000000e+00
2.347824028551674047e+01 9.000000000000000000e+00
2.377049398445311468e+01 8.000000000000000000e+00
2.382476449085235615e+01 9.000000000000000000e+00
2.428966737921641794e+01 1.000000000000000000e+01
2.468478357937462064e+01 9.000000000000000000e+00
