# Time ['A', 'AA', 'iAA']
0.000000000000000000e+00 1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.144207628672511332e-06 9.800000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00
8.094707322998539892e-06 9.600000000000000000e+01 2.000000000000000000e+00 0.000000000000000000e+00
1.100458267266931473e-05 9.400000000000000000e+01 3.000000000000000000e+00 0.000000000000000000e+00
1.195538219345881998e-05 9.200000000000000000e+01 4.000000000000000000e+00 0.000000000000000000e+00
1.334734989922744523e-05 9.000000000000000000e+01 5.000000000000000000e+00 0.000000000000000000e+00
1.416157130181795859e-05 8.800000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
4.019830313566079603e-05 8.600000000000000000e+01 7.000000000000000000e+00 0.000000000000000000e+00
4.352988342199796539e-05 8.400000000000000000e+01 8.000000000000000000e+00 0.000000000000000000e+00
4.553940281550030117e-05 8.200000000000000000e+01 9.000000000000000000e+00 0.000000000000000000e+00
4.734087744193814912e-05 8.000000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
5.026589346894419583e-05 7.800000000000000000e+01 1.100000000000000000e+01 0.000000000000000000e+00
5.557070639248777583e-05 7.600000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
7.860220599780274990e-05 7.400000000000000000e+01 1.300000000000000000e+01 0.000000000000000000e+00
8.105051942287571482e-05 7.200000000000000000e+01 1.400000000000000000e+01 0.000000000000000000e+00
8.184535919806331522e-05 7.000000000000000000e+01 1.500000000000000000e+01 0.000000000000000000e+00
9.191135718287113832e-05 6.800000000000000000e+01 1.600000000000000000e+01 0.000000000000000000e+00
1.004666468863979467e-04 6.600000000000000000e+01 1.700000000000000000e+01 0.000000000000000000e+00
1.054668533986966630e-04 6.400000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
1.056518351542587599e-04 6.200000000000000000e+01 1.900000000000000000e+01 0.000000000000000000e+00
1.197781035925252549e-04 6.000000000000000000e+01 2.000000000000000000e+01 0.000000000000000000e+00
1.268467317265909518e-04 5.800000000000000000e+01 2.100000000000000000e+01 0.000000000000000000e+00
1.288959755694990366e-04 5.600000000000000000e+01 2.200000000000000000e+01 0.000000000000000000e+00
1.311074268513379030e-04 5.400000000000000000e+01 2.300000000000000000e+01 0.000000000000000000e+00
1.465964912488762169e-04 5.200000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
1.496029325776335878e-04 5.000000000000000000e+01 2.500000000000000000e+01 0.000000000000000000e+00
1.879556861709362448e-04 4.800000000000000000e+01 2.600000000000000000e+01 0.000000000000000000e+00
2.009195997076457447e-04 4.600000000000000000e+01 2.700000000000000000e+01 0.000000000000000000e+00
2.079555553856877808e-04 4.400000000000000000e+01 2.800000000000000000e+01 0.000000000000000000e+00
2.122835650594232838e-04 4.200000000000000000e+01 2.900000000000000000e+01 0.000000000000000000e+00
2.163573903781060910e-04 4.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
2.364396654628707795e-04 3.800000000000000000e+01 3.100000000000000000e+01 0.000000000000000000e+00
2.791187358728574068e-04 3.600000000000000000e+01 3.200000000000000000e+01 0.000000000000000000e+00
2.866182816428334982e-04 3.400000000000000000e+01 3.300000000000000000e+01 0.000000000000000000e+00
3.035496542309618485e-04 3.200000000000000000e+01 3.400000000000000000e+01 0.000000000000000000e+00
3.181598942040049375e-04 3.000000000000000000e+01 3.500000000000000000e+01 0.000000000000000000e+00
3.666747546853885023e-04 2.800000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
3.763960239603328828e-04 2.600000000000000000e+01 3.700000000000000000e+01 0.000000000000000000e+00
4.697699348345159851e-04 2.400000000000000000e+01 3.800000000000000000e+01 0.000000000000000000e+00
5.313383641777054758e-04 2.200000000000000000e+01 3.900000000000000000e+01 0.000000000000000000e+00
6.225396068841779727e-04 2.000000000000000000e+01 4.000000000000000000e+01 0.000000000000000000e+00
6.381901272521116938e-04 1.800000000000000000e+01 4.100000000000000000e+01 0.000000000000000000e+00
6.512701061312100659e-04 1.600000000000000000e+01 4.200000000000000000e+01 0.000000000000000000e+00
6.741786331313136477e-04 1.400000000000000000e+01 4.300000000000000000e+01 0.000000000000000000e+00
7.323205664937735030e-04 1.200000000000000000e+01 4.400000000000000000e+01 0.000000000000000000e+00
9.166128944246865759e-04 1.000000000000000000e+01 4.500000000000000000e+01 0.000000000000000000e+00
1.482645118434679915e-03 8.000000000000000000e+00 4.600000000000000000e+01 0.000000000000000000e+00
2.144339859418181900e-03 6.000000000000000000e+00 4.700000000000000000e+01 0.000000000000000000e+00
2.368909206996357760e-03 4.000000000000000000e+00 4.800000000000000000e+01 0.000000000000000000e+00
2.627116851812791396e-03 2.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
3.454026423184950855e-03 0.000000000000000000e+00 5.000000000000000000e+01 0.000000000000000000e+00
inf 0.000000000000000000e+00 5.000000000000000000e+01 0.000000000000000000e+00
