# Time ['A', 'AA', 'iAA']
0.000000000000000000e+00 1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
3.686925407310282312e-05 9.800000000000000000e+01 1.000000000000000000e+00 0.000000000000000000e+00
6.305366122647104569e-05 9.600000000000000000e+01 2.000000000000000000e+00 0.000000000000000000e+00
1.351049600606701092e-04 9.400000000000000000e+01 3.000000000000000000e+00 0.000000000000000000e+00
1.898472595621114286e-04 9.200000000000000000e+01 4.000000000000000000e+00 0.000000000000000000e+00
2.113383304282762543e-04 9.000000000000000000e+01 5.000000000000000000e+00 0.000000000000000000e+00
2.180593195394800205e-04 8.800000000000000000e+01 6.000000000000000000e+00 0.000000000000000000e+00
3.148032038904135599e-04 8.600000000000000000e+01 7.000000000000000000e+00 0.000000000000000000e+00
3.444917852704978164e-04 8.400000000000000000e+01 8.000000000000000000e+00 0.000000000000000000e+00
4.224408901295117124e-04 8.200000000000000000e+01 9.000000000000000000e+00 0.000000000000000000e+00
6.054498313824048517e-04 8.000000000000000000e+01 1.000000000000000000e+01 0.000000000000000000e+00
6.543945547156281234e-04 7.800000000000000000e+01 1.100000000000000000e+01 0.000000000000000000e+00
6.879116815665963815e-04 7.600000000000000000e+01 1.200000000000000000e+01 0.000000000000000000e+00
7.143975051557507503e-04 7.400000000000000000e+01 1.300000000000000000e+01 0.000000000000000000e+00
7.263154506869479946e-04 7.200000000000000000e+01 1.400000000000000000e+01 0.000000000000000000e+00
7.771663689882661900e-04 7.000000000000000000e+01 1.500000000000000000e+01 0.000000000000000000e+00
7.861221544332339887e-04 6.800000000000000000e+01 1.600000000000000000e+01 0.000000000000000000e+00
8.306175746508261300e-04 6.600000000000000000e+01 1.700000000000000000e+01 0.000000000000000000e+00
8.544558984112707832e-04 6.400000000000000000e+01 1.800000000000000000e+01 0.000000000000000000e+00
8.778204745668465080e-04 6.200000000000000000e+01 1.900000000000000000e+01 0.000000000000000000e+00
9.122900555017138561e-04 6.000000000000000000e+01 2.000000000000000000e+01 0.000000000000000000e+00
9.730255520532068341e-04 5.800000000000000000e+01 2.100000000000000000e+01 0.000000000000000000e+00
1.141440087628769117e-03 5.600000000000000000e+01 2.200000000000000000e+01 0.000000000000000000e+00
1.175627916470403959e-03 5.400000000000000000e+01 2.300000000000000000e+01 0.000000000000000000e+00
1.612003467128134008e-03 5.200000000000000000e+01 2.400000000000000000e+01 0.000000000000000000e+00
1.995348120034429532e-03 5.000000000000000000e+01 2.500000000000000000e+01 0.000000000000000000e+00
2.735566696040219424e-03 4.800000000000000000e+01 2.600000000000000000e+01 0.000000000000000000e+00
3.164158922238269941e-03 4.600000000000000000e+01 2.700000000000000000e+01 0.000000000000000000e+00
3.358690966210905234e-03 4.400000000000000000e+01 2.800000000000000000e+01 0.000000000000000000e+00
3.592480551775030940e-03 4.200000000000000000e+01 2.900000000000000000e+01 0.000000000000000000e+00
4.435106284057410697e-03 4.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00
4.473240743923616140e-03 3.800000000000000000e+01 3.100000000000000000e+01 0.000000000000000000e+00
4.541351512914271714e-03 3.600000000000000000e+01 3.200000000000000000e+01 0.000000000000000000e+00
4.668804813396527573e-03 3.400000000000000000e+01 3.300000000000000000e+01 0.000000000000000000e+00
4.925725615152485963e-03 3.200000000000000000e+01 3.400000000000000000e+01 0.000000000000000000e+00
5.576420584378739310e-03 3.000000000000000000e+01 3.500000000000000000e+01 0.000000000000000000e+00
5.997342831545219091e-03 2.800000000000000000e+01 3.600000000000000000e+01 0.000000000000000000e+00
6.758218282002648528e-03 2.600000000000000000e+01 3.700000000000000000e+01 0.000000000000000000e+00
7.692733276973358521e-03 2.400000000000000000e+01 3.800000000000000000e+01 0.000000000000000000e+00
1.010790063118088312e-02 2.200000000000000000e+01 3.900000000000000000e+01 0.000000000000000000e+00
1.177293028872643602e-02 2.000000000000000000e+01 4.000000000000000000e+01 0.000000000000000000e+00
1.323272571396198402e-02 1.800000000000000000e+01 4.100000000000000000e+01 0.000000000000000000e+00
1.474703093064325295e-02 1.600000000000000000e+01 4.200000000000000000e+01 0.000000000000000000e+00
1.595688629273694578e-02 1.400000000000000000e+01 4.300000000000000000e+01 0.000000000000000000e+00
1.850966250193136417e-02 1.200000000000000000e+01 4.400000000000000000e+01 0.000000000000000000e+00
1.933302678500527574e-02 1.000000000000000000e+01 4.500000000000000000e+01 0.000000000000000000e+00
2.824281890895234334e-02 8.000000000000000000e+00 4.600000000000000000e+01 0.000000000000000000e+00
2.899182805502131810e-02 6.000000000000000000e+00 4.700000000000000000e+01 0.000000000000000000e+00
3.463014226920136523e-02 4.000000000000000000e+00 4.800000000000000000e+01 0.000000000000000000e+00
5.105535025700428525e-02 2.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
1.012405607292333476e-01 0.000000000000000000e+00 5.000000000000000000e+01 0.000000000000000000e+00
inf 0.000000000000000000e+00 5.000000000000000000e+01 0.000000000000000000e+00
